x,y,K,logK,pH,P,logP
40,960,26,1.41497,7.2,5.5,0.74036
40,1000,22,1.34242,7.2,5.2,0.716
40,1040,18,1.25527,6.8,2.6,0.41497
40,1080,19,1.27875,6.4,1.3,0.11394
40,1120,26,1.41497,6.1,1.3,0.11394
40,1160,23,1.36173,6.6,6.9,0.83885
40,1200,32,1.50515,7.8,6.6,0.81954
40,1240,28,1.44716,8,7.8,0.89209
80,760,55,1.74036,6.8,2.6,0.41497
80,920,19,1.27875,6,1,0
80,960,18,1.25527,5.6,0.6,-0.22185
80,1000,17,1.23045,5.5,0.5,-0.30103
80,1040,15,1.17609,5.7,0.4,-0.39794
80,1080,16,1.20412,5.6,0.5,-0.30103
80,1120,19,1.27875,6.4,0.5,-0.30103
80,1160,15,1.17609,6.7,0.7,-0.1549
80,1200,24,1.38021,7.9,7.5,0.87506
80,1240,14,1.14613,8.2,6.6,0.81954
120,40,28,1.44716,8.2,4.2,0.62325
120,80,26,1.41497,8.2,7.5,0.87506
120,120,23,1.36173,8.2,5.1,0.70757
120,160,21,1.32222,8.2,4,0.60206
120,200,22,1.34242,8,5.3,0.72428
120,240,22,1.34242,8.3,4.8,0.68124
120,280,24,1.38021,8.3,4.8,0.68124
120,320,41,1.61278,8.2,4,0.60206
120,360,30,1.47712,7.8,4.6,0.66276
120,400,20,1.30103,7.7,2.6,0.41497
120,440,22,1.34242,7.6,14.5,1.16137
120,720,22,1.34242,6.8,3.4,0.53148
120,760,26,1.41497,8,9.5,0.97772
120,920,16,1.20412,7.2,2.7,0.43136
120,960,18,1.25527,6.9,2.5,0.39794
120,1000,15,1.17609,7.3,2.2,0.34242
120,1040,16,1.20412,6.9,1,0
120,1080,15,1.17609,7,1.2,0.07918
120,1120,16,1.20412,7.4,1,0
120,1160,14,1.14613,7.4,1.3,0.11394
120,1200,20,1.30103,8,6,0.77815
120,1240,15,1.17609,8.2,8.4,0.92428
120,480,70,1.8451,7.8,12.4,1.09342
120,520,20,1.30103,7.6,3.9,0.59106
120,560,22,1.34242,7.5,2,0.30103
160,80,24,1.38021,8.2,6.7,0.82607
160,120,23,1.36173,8.3,6.9,0.83885
160,160,20,1.30103,8.4,4.5,0.65321
160,200,24,1.38021,8.3,3.7,0.5682
160,240,20,1.30103,8.5,4.6,0.66276
160,280,20,1.30103,8.4,3.8,0.57978
160,320,34,1.53148,8.2,2.4,0.38021
160,400,18,1.25527,7.4,1.5,0.17609
160,440,18,1.25527,7.7,3.5,0.54407
160,480,21,1.32222,8,5.7,0.75587
160,520,18,1.25527,8.4,1.6,0.20412
160,560,22,1.34242,8,2.4,0.38021
160,600,28,1.44716,6.6,1.6,0.20412
160,640,25,1.39794,7.7,1.8,0.25527
160,680,28,1.44716,7.2,1.7,0.23045
160,720,24,1.38021,7.6,4.6,0.66276
160,760,23,1.36173,7.6,5.5,0.74036
160,920,16,1.20412,7.2,2.5,0.39794
160,960,18,1.25527,7.2,1.7,0.23045
160,1000,17,1.23045,7.6,3.5,0.54407
160,1040,16,1.20412,7.4,2.1,0.32222
160,1080,19,1.27875,7.6,3.6,0.5563
160,1120,21,1.32222,7.4,4,0.60206
160,1160,13,1.11394,7.7,2.9,0.4624
160,1200,15,1.17609,8,3.8,0.57978
160,1240,15,1.17609,8.2,6.2,0.79239
200,160,24,1.38021,8.3,4.6,0.66276
200,200,23,1.36173,8.4,4.2,0.62325
