x,y,K,logK,pH,P,logP
40,960,26,3.25809653802148,7.2,5.5,1.70474809223843
40,1000,22,3.09104245335832,7.2,5.2,1.64865862558738
40,1040,18,2.89037175789616,6.8,2.6,0.955511445027436
40,1080,19,2.94443897916644,6.4,1.3,0.262364264467491
40,1120,26,3.25809653802148,6.1,1.3,0.262364264467491
40,1160,23,3.13549421592915,6.6,6.9,1.93152141160321
40,1200,32,3.46573590279973,7.8,6.6,1.88706964903238
40,1240,28,3.3322045101752,8,7.8,2.05412373369555
80,760,55,4.00733318523247,6.8,2.6,0.955511445027436
80,920,19,2.94443897916644,6,1,0
80,960,18,2.89037175789616,5.6,0.6,-0.510825623765991
80,1000,17,2.83321334405622,5.5,0.5,-0.693147180559945
80,1040,15,2.70805020110221,5.7,0.4,-0.916290731874155
80,1080,16,2.77258872223978,5.6,0.5,-0.693147180559945
80,1120,19,2.94443897916644,6.4,0.5,-0.693147180559945
80,1160,15,2.70805020110221,6.7,0.7,-0.356674943938732
80,1200,24,3.17805383034795,7.9,7.5,2.01490302054226
80,1240,14,2.63905732961526,8.2,6.6,1.88706964903238
120,40,28,3.3322045101752,8.2,4.2,1.43508452528932
120,80,26,3.25809653802148,8.2,7.5,2.01490302054226
120,120,23,3.13549421592915,8.2,5.1,1.62924053973028
120,160,21,3.04452243772342,8.2,4,1.38629436111989
120,200,22,3.09104245335832,8,5.3,1.66770682055808
120,240,22,3.09104245335832,8.3,4.8,1.56861591791385
120,280,24,3.17805383034795,8.3,4.8,1.56861591791385
120,320,41,3.71357206670431,8.2,4,1.38629436111989
120,360,30,3.40119738166216,7.8,4.6,1.52605630349505
120,400,20,2.99573227355399,7.7,2.6,0.955511445027436
120,440,22,3.09104245335832,7.6,14.5,2.67414864942653
120,720,22,3.09104245335832,6.8,3.4,1.22377543162212
120,760,26,3.25809653802148,8,9.5,2.2512917986065
120,920,16,2.77258872223978,7.2,2.7,0.993251773010283
120,960,18,2.89037175789616,6.9,2.5,0.916290731874155
120,1000,15,2.70805020110221,7.3,2.2,0.78845736036427
120,1040,16,2.77258872223978,6.9,1,0
120,1080,15,2.70805020110221,7,1.2,0.182321556793955
120,1120,16,2.77258872223978,7.4,1,0
120,1160,14,2.63905732961526,7.4,1.3,0.262364264467491
120,1200,20,2.99573227355399,8,6,1.79175946922806
120,1240,15,2.70805020110221,8.2,8.4,2.12823170584927
120,480,70,4.24849524204936,7.8,12.4,2.51769647261099
120,520,20,2.99573227355399,7.6,3.9,1.3609765531356
120,560,22,3.09104245335832,7.5,2,0.693147180559945
160,80,24,3.17805383034795,8.2,6.7,1.90210752639692
160,120,23,3.13549421592915,8.3,6.9,1.93152141160321
160,160,20,2.99573227355399,8.4,4.5,1.50407739677627
160,200,24,3.17805383034795,8.3,3.7,1.30833281965018
160,240,20,2.99573227355399,8.5,4.6,1.52605630349505
160,280,20,2.99573227355399,8.4,3.8,1.33500106673234
160,320,34,3.52636052461616,8.2,2.4,0.8754687373539
160,400,18,2.89037175789616,7.4,1.5,0.405465108108164
160,440,18,2.89037175789616,7.7,3.5,1.25276296849537
160,480,21,3.04452243772342,8,5.7,1.7404661748405
160,520,18,2.89037175789616,8.4,1.6,0.470003629245736
160,560,22,3.09104245335832,8,2.4,0.8754687373539
160,600,28,3.3322045101752,6.6,1.6,0.470003629245736
160,640,25,3.2188758248682,7.7,1.8,0.587786664902119
160,680,28,3.3322045101752,7.2,1.7,0.53062825106217
160,720,24,3.17805383034795,7.6,4.6,1.52605630349505
160,760,23,3.13549421592915,7.6,5.5,1.70474809223843
160,920,16,2.77258872223978,7.2,2.5,0.916290731874155
160,960,18,2.89037175789616,7.2,1.7,0.53062825106217
160,1000,17,2.83321334405622,7.6,3.5,1.25276296849537
160,1040,16,2.77258872223978,7.4,2.1,0.741937344729377
160,1080,19,2.94443897916644,7.6,3.6,1.28093384546206
160,1120,21,3.04452243772342,7.4,4,1.38629436111989
160,1160,13,2.56494935746154,7.7,2.9,1.06471073699243
160,1200,15,2.70805020110221,8,3.8,1.33500106673234
160,1240,15,2.70805020110221,8.2,6.2,1.82454929205105
200,160,24,3.17805383034795,8.3,4.6,1.52605630349505
200,200,23,3.13549421592915,8.4,4.2,1.43508452528932
200,240,22,3.09104245335832,8.3,3,1.09861228866811
200,280,25,3.2188758248682,8.4,5.7,1.7404661748405
200,360,19,2.94443897916644,6.6,0.8,-0.22314355131421
200,400,20,2.99573227355399,6.2,1.3,0.262364264467491
200,440,19,2.94443897916644,7.2,3,1.09861228866811
200,480,20,2.99573227355399,8,4.2,1.43508452528932
200,520,16,2.77258872223978,8.2,2.6,0.955511445027436
200,560,16,2.77258872223978,7.8,2,0.693147180559945
200,600,20,2.99573227355399,7.7,3.5,1.25276296849537
200,640,28,3.3322045101752,7.8,1.3,0.262364264467491
200,680,21,3.04452243772342,8,1.4,0.336472236621213
200,720,28,3.3322045101752,7.9,6.6,1.88706964903238
200,760,24,3.17805383034795,7.8,5.2,1.64865862558738
200,920,18,2.89037175789616,7.4,3.5,1.25276296849537
200,960,15,2.70805020110221,7.6,3.1,1.1314021114911
200,1000,14,2.63905732961526,7.4,3,1.09861228866811
200,1040,15,2.70805020110221,7.4,3.6,1.28093384546206
200,1080,19,2.94443897916644,7.4,4.6,1.52605630349505
200,1120,20,2.99573227355399,7.9,3.5,1.25276296849537
200,1160,15,2.70805020110221,8.2,3.5,1.25276296849537
200,1200,14,2.63905732961526,8.1,4.5,1.50407739677627
200,1240,16,2.77258872223978,8.2,6.3,1.84054963339749
240,200,28,3.3322045101752,8.3,4.6,1.52605630349505
240,240,22,3.09104245335832,8.4,3.2,1.16315080980568
240,280,26,3.25809653802148,8.3,2.9,1.06471073699243
240,320,27,3.29583686600433,8,1.8,0.587786664902119
240,360,19,2.94443897916644,7.4,1.2,0.182321556793955
240,400,19,2.94443897916644,7.1,1.6,0.470003629245736
240,440,15,2.70805020110221,6.6,1.4,0.336472236621213
240,480,19,2.94443897916644,7.7,3.8,1.33500106673234
240,520,18,2.89037175789616,8.2,3.7,1.30833281965018
240,560,20,2.99573227355399,7.9,4.4,1.48160454092422
240,600,19,2.94443897916644,8,4.8,1.56861591791385
240,640,27,3.29583686600433,7.8,2.6,0.955511445027436
240,680,29,3.36729582998647,8,2.5,0.916290731874155
240,720,35,3.55534806148941,8.1,14.8,2.69462718077007
240,760,25,3.2188758248682,7.8,5.2,1.64865862558738
240,920,16,2.77258872223978,7.8,1.5,0.405465108108164
240,960,14,2.63905732961526,6.8,1.1,0.0953101798043249
240,1000,15,2.70805020110221,6.6,1.5,0.405465108108164
240,1040,16,2.77258872223978,6.5,1.2,0.182321556793955
240,1080,16,2.77258872223978,6.6,2.3,0.832909122935104
240,1120,16,2.77258872223978,7.6,3.5,1.25276296849537
240,1160,16,2.77258872223978,8.2,5.1,1.62924053973028
240,1200,15,2.70805020110221,8.1,4.5,1.50407739677627
280,280,24,3.17805383034795,8.4,5.5,1.70474809223843
280,320,24,3.17805383034795,7.9,1.4,0.336472236621213
280,360,24,3.17805383034795,7.4,1,0
280,400,23,3.13549421592915,7.6,2.4,0.8754687373539
280,440,22,3.09104245335832,7.8,3.7,1.30833281965018
280,480,16,2.77258872223978,7.2,1.6,0.470003629245736
280,520,19,2.94443897916644,7.8,4.8,1.56861591791385
280,560,16,2.77258872223978,7.6,2.1,0.741937344729377
280,600,20,2.99573227355399,8,4.8,1.56861591791385
280,640,18,2.89037175789616,7.8,2.1,0.741937344729377
280,680,27,3.29583686600433,7.9,1.1,0.0953101798043249
280,720,58,4.06044301054642,8.1,3.9,1.3609765531356
280,760,24,3.17805383034795,8,3.5,1.25276296849537
280,920,18,2.89037175789616,6.8,2.1,0.741937344729377
280,960,14,2.63905732961526,6.9,1.5,0.405465108108164
280,1000,17,2.83321334405622,6.6,1.5,0.405465108108164
280,1040,17,2.83321334405622,6.2,1.3,0.262364264467491
280,1080,14,2.63905732961526,6.6,1.8,0.587786664902119
280,1120,18,2.89037175789616,6.6,3.4,1.22377543162212
280,1160,15,2.70805020110221,7.8,5.4,1.68639895357023
280,1200,28,3.3322045101752,8.4,5.1,1.62924053973028
320,280,24,3.17805383034795,8.2,4.9,1.58923520511658
320,320,23,3.13549421592915,7.9,1.8,0.587786664902119
320,360,24,3.17805383034795,7.5,2,0.693147180559945
320,400,21,3.04452243772342,7.1,1.8,0.587786664902119
320,440,16,2.77258872223978,6.6,1.6,0.470003629245736
320,480,23,3.13549421592915,6.8,1.6,0.470003629245736
320,520,20,2.99573227355399,7.7,4.5,1.50407739677627
320,560,26,3.25809653802148,7.5,2,0.693147180559945
320,600,18,2.89037175789616,7,2.2,0.78845736036427
320,640,25,3.2188758248682,6.7,1.2,0.182321556793955
320,680,20,2.99573227355399,6.5,1.1,0.0953101798043249
320,720,44,3.78418963391826,7.2,2.8,1.02961941718116
320,760,24,3.17805383034795,8,4.4,1.48160454092422
320,920,53,3.97029191355212,7.4,6.9,1.93152141160321
320,960,12,2.484906649788,7.2,1.1,0.0953101798043249
320,1000,12,2.484906649788,6.8,1.6,0.470003629245736
320,1040,15,2.70805020110221,7.2,3.2,1.16315080980568
320,1080,15,2.70805020110221,7.4,5,1.6094379124341
320,1120,16,2.77258872223978,7.1,2.1,0.741937344729377
320,1160,18,2.89037175789616,7.4,2.7,0.993251773010283
