x,y,K,pH,P
40,960,26,7.2,5.5
40,1000,22,7.2,5.2
40,1040,18,6.8,2.6
40,1080,19,6.4,1.3
40,1120,26,6.1,1.3
40,1160,23,6.6,6.9
40,1200,32,7.8,6.6
40,1240,28,8,7.8
80,760,55,6.8,2.6
80,920,19,6,1
80,960,18,5.6,0.6
80,1000,17,5.5,0.5
80,1040,15,5.7,0.4
80,1080,16,5.6,0.5
80,1120,19,6.4,0.5
80,1160,15,6.7,0.7
80,1200,24,7.9,7.5
80,1240,14,8.2,6.6
120,40,28,8.2,4.2
120,80,26,8.2,7.5
120,120,23,8.2,5.1
120,160,21,8.2,4
120,200,22,8,5.3
120,240,22,8.3,4.8
120,280,24,8.3,4.8
120,320,41,8.2,4
120,360,30,7.8,4.6
120,400,20,7.7,2.6
120,440,22,7.6,14.5
120,720,22,6.8,3.4
120,760,26,8,9.5
120,920,16,7.2,2.7
120,960,18,6.9,2.5
120,1000,15,7.3,2.2
120,1040,16,6.9,1
120,1080,15,7,1.2
120,1120,16,7.4,1
120,1160,14,7.4,1.3
120,1200,20,8,6
120,1240,15,8.2,8.4
120,480,70,7.8,12.4
120,520,20,7.6,3.9
120,560,22,7.5,2
160,80,24,8.2,6.7
160,120,23,8.3,6.9
160,160,20,8.4,4.5
160,200,24,8.3,3.7
160,240,20,8.5,4.6
160,280,20,8.4,3.8
160,320,34,8.2,2.4
160,400,18,7.4,1.5
160,440,18,7.7,3.5
160,480,21,8,5.7
160,520,18,8.4,1.6
160,560,22,8,2.4
160,600,28,6.6,1.6
160,640,25,7.7,1.8
160,680,28,7.2,1.7
160,720,24,7.6,4.6
160,760,23,7.6,5.5
160,920,16,7.2,2.5
160,960,18,7.2,1.7
160,1000,17,7.6,3.5
160,1040,16,7.4,2.1
160,1080,19,7.6,3.6
160,1120,21,7.4,4
160,1160,13,7.7,2.9
160,1200,15,8,3.8
160,1240,15,8.2,6.2
200,160,24,8.3,4.6
200,200,23,8.4,4.2
200,240,22,8.3,3
200,280,25,8.4,5.7
200,360,19,6.6,0.8
200,400,20,6.2,1.3
200,440,19,7.2,3
200,480,20,8,4.2
200,520,16,8.2,2.6
200,560,16,7.8,2
200,600,20,7.7,3.5
200,640,28,7.8,1.3
200,680,21,8,1.4
200,720,28,7.9,6.6
200,760,24,7.8,5.2
200,920,18,7.4,3.5
200,960,15,7.6,3.1
200,1000,14,7.4,3
200,1040,15,7.4,3.6
200,1080,19,7.4,4.6
200,1120,20,7.9,3.5
200,1160,15,8.2,3.5
200,1200,14,8.1,4.5
200,1240,16,8.2,6.3
240,200,28,8.3,4.6
240,240,22,8.4,3.2
240,280,26,8.3,2.9
