espesor,id
6,1
7.2,2
7.1,3
7.1,4
7.2,5
7.4,6
8,7
8.6,8
10,9
11.4,10
12,11
11,12
9.6,13
8.7,14
7.6,15
7.2,16
7.2,17
7.8,18
8.1,19
7.8,20
7.1,21
7.2,22
7.1,23
7,24
7,25
7.7,26
8.6,27
9,28
12,29
13.7,30
14,31
13.6,32
12.1,33
12.9,34
12.8,35
11.1,36
9,37
7.5,38
7.5,39
8.4,40
8.4,41
7.9,42
7,43
6.7,44
6.8,45
7.3,46
7.3,47
7.2,48
8.1,49
9.8,50
11,51
10.8,52
9.5,53
8.1,54
7.2,55
7.1,56
6.8,57
7,58
7.1,59
5.6,60
3.8,61
3.4,62
4.2,63
4.8,64
4.5,65
3.6,66
3,67
2.8,68
4.1,69
6.8,70
8.1,71
7.8,72
6.4,73
4.6,74
3.7,75
4,76
4.2,77
4.5,78
5.9,79
7.3,80
7.3,81
6.7,82
6,83
5.8,84
5.7,85
6.5,86
8.2,87
10.2,88
12.3,89
13.2,90
13.2,91
12.4,92
9.7,93
9.2,94
9.3,95
8.3,96
6,97
5.7,98
6.1,99
6.3,100
6.3,101
