azimut,dip
49.3,0
43.3,0
47.4,0
129,0
128.5,0
126.3,0
127.8,0
125,0
47.5,0
47.8,0
48,0
113,0
113.5,0
240.1,0
239.8,0
33.7,0
245.4,0
239.5,0
33.7,0
43,0
47,0
43.1,0
46.7,0
226.1,0
223.5,0
228.7,0
1.8,0
42.8,0
115.7,0
244.5,0
244,0
240.6,0
38.7,0
8.5,0
16.4,0
195.3,0
12.5,0
7.1,0
214,0
237.9,0
255.3,0
192.3,0
122.1,0
197.9,0
200,0
42.6,0
38.4,0
253.1,0
248,0
248.7,0
232.7,0
230.5,0
235.5,0
41.6,0
42.8,0
252,0
240.6,0
88,0
90,0
190.2,0
31.1,0
30,0
30.8,0
33.1,0
47.6,0
47.7,0
22.9,0
30.8,0
26.6,0
29.1,0
27.6,0
163.3,0
161.1,0
98.4,0
122.5,0
29.3,0
32.9,0
191.1,0
90.8,0
169.9,0
198.8,0
195.6,0
94.9,0
189.8,0
91.9,0
94.8,0
18.4,0
15.6,0
17.6,0
14.8,0
13.7,0
14.5,0
68.2,0
99.2,0
98,0
97.9,0
236.7,0
232.4,0
234.8,0
236.6,0
4.5,0
4.8,0
202.2,0
200.4,0
213.4,0
211.6,0
231.2,0
224,0
187.9,0
194,0
204.5,0
207,0
232.3,0
203.1,0
246.8,0
211,0
207,0
213.9,0
209.9,0
205.8,0
220.3,0
28.1,0
238.5,0
122.8,0
236.6,0
229.6,0
231.3,0
197.6,0
31.9,0
92.4,0
34.8,0
34,0
190.5,0
238,0
236.6,0
236.9,0
235.5,0
236.3,0
237.1,0
236.7,0
240.5,0
241.4,0
240.9,0
114.6,0
14.7,0
14.8,0
7.8,0
56.5,0
55.9,0
46.5,0
42.9,0
33.3,0
28.3,0
196.7,0
45,0
47.1,0
238.3,0
246.8,0
244.1,0
242,0
242.6,0
237.9,0
126.9,0
124.7,0
234.2,0
122.9,0
220.8,0
221.1,0
38.8,0
37.1,0
36.3,0
35.7,0
35.1,0
42.2,0
42.7,0
216.2,0
214,0
215.3,0
216.3,0
207,0
117.2,0
240.1,0
124.1,0
122.6,0
120.7,0
239.5,0
238.5,0
69.9,0
0,0
43.9,0
35.4,0
47.5,0
37.1,0
83.9,0
85.4,0
102.2,0
102,0
110,0
106.7,0
45,0
110.6,0
186,0
18.1,0
14.6,0
50.5,0
6.5,0
194.1,0
189.6,0
187.1,0
119.1,0
114.1,0
116.1,0
115.7,0
115.8,0
118.7,0
250.8,0
247.1,0
249.5,0
