GammaRay,Elevation
74.3458,299.5
78.7302,300
82.1863,300.5
86.6271,301
89.5909,301.5
92.0624,302
82.695,302.5
77.3073,303
74.3369,303.5
72.9046,304
73.4696,304.5
82.7734,305
85.7372,305.5
80.8241,306
75.911,306.5
71.4511,307
71.6815,307.5
73.6221,308
75.352,308.5
77.9262,309
80.8989,309.5
91.2473,310
90.2727,310.5
87.3288,311
85.8618,311.5
87.1364,312
98.4857,312.5
104.1071,313
101.6577,313.5
101.4352,314
105.1266,314.5
112.0289,315
112.6108,315.5
107.6181,316
101.402,316.5
88.0062,317
78.2339,317.5
71.9805,318
65.8241,318.5
70.6205,319
74.0536,319.5
70.7798,320
70.2968,320.5
79.169,321
76.9087,321.5
69.7084,322
52.9028,322.5
44.401,323
39.6053,323.5
36.8953,324
37.3976,324.5
43.8076,325
53.1714,325.5
68.978,326
80.047,326.5
84.5325,327
86.6898,327.5
84.8099,328
83.2646,328.5
84.7538,329
92.1484,329.5
93.2243,330
90.6915,330.5
82.0564,331
70.8757,331.5
54.3191,332
45.736,332.5
42.3203,333
42.0715,333.5
46.4585,334
52.3762,334.5
51.8939,335
49.4423,335.5
49.5972,336
55.7187,336.5
57.3491,337
50.6241,337.5
43.6263,338
34.7379,338.5
34.7479,339
36.7271,339.5
38.214,340
43.6482,340.5
49.8729,341
55.0866,341.5
53.3627,342
53.5274,342.5
60.8045,343
69.7964,343.5
67.8372,344
68.3395,344.5
72.7802,345
78.8596,345.5
88.8903,346
102.6541,346.5
116.6964,347
124.6475,347.5
124.3248,348
114.7011,348.5
112.2496,349
110.7826,349.5
114.2387,350
125.1486,350.5
125.5818,351
123.9799,351.5
118.9965,352
98.3951,352.5
70.9805,353
63.1135,353.5
57.7081,354
55.7472,354.5
69.7075,355
76.3504,355.5
78.5734,356
65.6382,356.5
57.7713,357
49.9043,357.5
46.4681,358
45.0012,358.5
48.1231,359
51.0861,359.5
57.4877,360
76.9787,360.5
130.2236,361
227.9044,361.5
280.0429,362
308.8236,362.5
320,363
320,363.5
320,364
320,364.5
233.7235,365
112.0703,365.5
101.2838,366
90.9553,366.5
87.5191,367
87.4877,367.5
90.9852,368
87.9861,368.5
79.618,369
67.2331,369.5
59.93,370
52.4922,370.5
48.8476,371
52.1677,371.5
57.593,372
66.9569,372.5
73.446,373
71.5913,373.5
67.333,374
61.6739,374.5
56.7363,375
54.7118,375.5
61.6163,376
73.4416,376.5
79.8516,377
84.7846,377.5
90.0171,378
98.5166,378.5
108.4728,379
115.1458,379.5
113.637,380
105.5264,380.5
101.1056,381
92.7463,381.5
86.3563,382
85.3816,382.5
86.7317,383
93.3373,383.5
98.8564,384
101.8815,384.5
101.1223,385
82.9849,385.5
66.7487,386
59.8664,386.5
60.3687,387
