Densidad,Velocidad_P,Tipo_Roca,Litologia
2.594,5.383,1,Granito
2.618,5.383,1,Granito
2.612,5.435,1,Granito
2.63,5.442,1,Granito
2.643,5.412,1,Granito
2.63,5.495,1,Granito
2.616,5.518,1,Granito
2.608,5.487,1,Granito
2.592,5.54,1,Granito
2.602,5.577,1,Granito
2.622,5.585,1,Granito
2.634,5.577,1,Granito
2.651,5.555,1,Granito
2.657,5.607,1,Granito
2.643,5.622,1,Granito
2.63,5.63,1,Granito
2.616,5.63,1,Granito
2.596,5.63,1,Granito
2.6,5.668,1,Granito
2.614,5.683,1,Granito
2.602,5.735,1,Granito
2.628,5.735,1,Granito
2.651,5.742,1,Granito
2.671,5.772,1,Granito
2.64,5.855,1,Granito
2.62,5.84,1,Granito
2.602,5.787,1,Granito
2.636,5.915,1,Granito
2.651,5.9,1,Granito
2.655,5.96,1,Granito
2.866,5.758,1,Granito
2.547,5.075,2,Gneis biotita-anfibol
2.587,5.247,2,Gneis biotita-anfibol
2.642,5.33,2,Gneis biotita-anfibol
2.604,5.487,2,Gneis biotita-anfibol
2.647,5.503,2,Gneis biotita-anfibol
2.663,5.518,2,Gneis biotita-anfibol
2.673,5.48,2,Gneis biotita-anfibol
2.695,5.548,2,Gneis biotita-anfibol
2.675,5.607,2,Gneis biotita-anfibol
2.695,5.66,2,Gneis biotita-anfibol
2.704,5.742,2,Gneis biotita-anfibol
2.716,5.795,2,Gneis biotita-anfibol
2.728,5.803,2,Gneis biotita-anfibol
2.716,5.84,2,Gneis biotita-anfibol
2.704,5.803,2,Gneis biotita-anfibol
2.691,5.765,2,Gneis biotita-anfibol
2.669,5.728,2,Gneis biotita-anfibol
2.642,5.735,2,Gneis biotita-anfibol
2.616,5.803,2,Gneis biotita-anfibol
2.643,5.803,2,Gneis biotita-anfibol
2.653,5.84,2,Gneis biotita-anfibol
2.673,5.84,2,Gneis biotita-anfibol
2.685,5.817,2,Gneis biotita-anfibol
2.699,5.803,2,Gneis biotita-anfibol
2.714,5.84,2,Gneis biotita-anfibol
2.704,5.893,2,Gneis biotita-anfibol
2.683,5.893,2,Gneis biotita-anfibol
2.667,5.93,2,Gneis biotita-anfibol
2.638,5.99,2,Gneis biotita-anfibol
2.655,6.043,2,Gneis biotita-anfibol
2.665,6.013,2,Gneis biotita-anfibol
2.679,5.975,2,Gneis biotita-anfibol
2.689,5.938,2,Gneis biotita-anfibol
2.724,5.915,2,Gneis biotita-anfibol
2.744,5.93,2,Gneis biotita-anfibol
2.718,5.975,2,Gneis biotita-anfibol
2.704,5.99,2,Gneis biotita-anfibol
2.689,6.02,2,Gneis biotita-anfibol
2.681,6.043,2,Gneis biotita-anfibol
2.679,6.117,2,Gneis biotita-anfibol
2.703,6.492,2,Gneis biotita-anfibol
2.738,6.17,2,Gneis biotita-anfibol
2.614,5.308,3,Gneis biotita-granate
2.685,5.442,3,Gneis biotita-granate
2.699,5.503,3,Gneis biotita-granate
2.691,5.51,3,Gneis biotita-granate
2.722,5.525,3,Gneis biotita-granate
2.734,5.442,3,Gneis biotita-granate
2.793,5.24,3,Gneis biotita-granate
2.807,5.495,3,Gneis biotita-granate
2.746,5.57,3,Gneis biotita-granate
2.75,5.615,3,Gneis biotita-granate
2.767,5.63,3,Gneis biotita-granate
2.754,5.683,3,Gneis biotita-granate
2.732,5.675,3,Gneis biotita-granate
2.718,5.683,3,Gneis biotita-granate
2.722,5.742,3,Gneis biotita-granate
2.757,5.787,3,Gneis biotita-granate
2.756,5.855,3,Gneis biotita-granate
2.775,5.765,3,Gneis biotita-granate
2.785,5.728,3,Gneis biotita-granate
2.809,5.668,3,Gneis biotita-granate
2.832,5.675,3,Gneis biotita-granate
2.848,5.69,3,Gneis biotita-granate
2.862,5.622,3,Gneis biotita-granate
2.836,5.6,3,Gneis biotita-granate
2.873,5.938,3,Gneis biotita-granate
2.875,5.997,3,Gneis biotita-granate
2.883,6.065,3,Gneis biotita-granate
2.834,6.072,3,Gneis biotita-granate
2.814,6.253,3,Gneis biotita-granate
2.752,5.968,3,Gneis biotita-granate
2.824,6.2,4,Gneis anfibol & Anfibolita
2.83,6.365,4,Gneis anfibol & Anfibolita
2.842,6.2,4,Gneis anfibol & Anfibolita
2.862,6.35,4,Gneis anfibol & Anfibolita
2.868,6.253,4,Gneis anfibol & Anfibolita
2.869,6.44,4,Gneis anfibol & Anfibolita
2.856,6.47,4,Gneis anfibol & Anfibolita
2.771,6.357,4,Gneis anfibol & Anfibolita
2.858,6.117,4,Gneis anfibol & Anfibolita
2.856,6.027,4,Gneis anfibol & Anfibolita
2.862,5.968,4,Gneis anfibol & Anfibolita
2.805,5.938,4,Gneis anfibol & Anfibolita
3.013,6.718,4,Gneis anfibol & Anfibolita
3.023,6.515,4,Gneis anfibol & Anfibolita
3.105,6.747,4,Gneis anfibol & Anfibolita
3.102,6.822,4,Gneis anfibol & Anfibolita
3.103,7.003,4,Gneis anfibol & Anfibolita
3.102,7.19,4,Gneis anfibol & Anfibolita
2.744,5.795,5,Granulita
2.744,5.855,5,Granulita
2.785,5.817,5,Granulita
2.801,5.862,5,Granulita
2.791,5.69,5,Granulita
2.818,5.81,5,Granulita
2.826,5.878,5,Granulita
2.84,5.945,5,Granulita
2.84,5.855,5,Granulita
2.836,5.78,5,Granulita
2.854,5.787,5,Granulita
2.866,5.862,5,Granulita
2.881,5.81,5,Granulita
2.905,5.855,5,Granulita
2.73,5.975,6,Diorita & Gabro-diorita
2.757,6.035,6,Diorita & Gabro-diorita
2.763,5.982,6,Diorita & Gabro-diorita
2.746,6.088,6,Diorita & Gabro-diorita
2.732,6.035,6,Diorita & Gabro-diorita
2.718,6.072,6,Diorita & Gabro-diorita
2.718,6.178,6,Diorita & Gabro-diorita
2.748,6.237,6,Diorita & Gabro-diorita
2.763,6.185,6,Diorita & Gabro-diorita
2.767,6.23,6,Diorita & Gabro-diorita
2.785,6.23,6,Diorita & Gabro-diorita
