Easting	Northing	PotentiometricLevel
68.908	205.436	439.2
-44.114	146.188	765.9
-1.932	136.689	647.4
-29.946	123.165	736.5
155.365	104.006	526.8
174.846	133.469	510.6
142.324	90.965	541.5
144.9	63.273	539.1
150.052	53.291	514.2
157.136	90.643	439.8
145.866	56.511	518.7
149.086	67.298	491.4
160.195	95.312	520.8
-38.801	297.528	442.8
-42.021	183.701	660
90.643	43.148	599.7
117.53	30.429	504
129.283	20.286	541.8
129.122	23.506	504.6
110.768	173.558	391.8
123.004	154.56	516.6
103.845	177.744	431.1
69.874	86.296	548.4
62.951	99.82	635.4
181.608	73.255	517.5
87.423	237.958	481.8
9.821	77.763	794.4
-6.118	65.044	768
-3.542	48.139	763.2
-3.864	54.418	715.8
-3.542	54.257	720
101.752	127.995	527.1
-17.388	281.911	420.6
-30.59	276.759	409.2
-62.146	255.185	520.5
133.791	256.151	412.8
-35.098	24.15	818.7
-37.996	15.134	829.8
-32.361	35.581	820.8
-26.726	27.853	729.6
48.139	281.911	307.2
162.449	37.03	483.3
163.093	37.03	464.4
166.313	32.683	477.3
-23.023	50.393	762
-29.141	48.622	705.6
-29.141	47.495	758.4
-15.939	61.341	772.5
-19.642	62.951	740.4
18.837	30.107	793.8
99.337	52.325	521.7
112.056	54.418	502.2
107.387	54.579	560.4
-59.087	242.949	559.5
-31.556	221.858	533.1
-34.293	212.198	473.7
-36.064	220.731	531.3
33.971	224.273	422.4
12.397	204.148	458.1
-13.363	173.558	600.9
91.287	275.793	415.8
94.99	264.845	326.7
111.09	285.292	415.2
114.149	259.854	309
117.53	262.43	327.6
96.117	273.861	348.3
99.659	280.623	424.5
102.557	279.979	369.3
9.016	127.351	690
29.302	124.614	671.4
137.977	225.078	311.4
169.211	212.52	399.6
-163.576	17.227	1053
-233.772	45.08	1047
-119.14	141.68	778.2
-152.145	139.426	795
-142.968	123.487	759.9
-193.683	130.088	1071.3
-138.46	87.584	843.3
-117.208	69.391	818.4
-161.322	69.069	940.8
-126.868	65.688	765.9
-134.757	74.865	839.4
-153.916	57.638	807.3
-141.036	47.334	883.8
