X,Y,Thk,n,k
12100,8300,37.1531,14.6515,2.8547
5300,8700,31.4993,14.5093,
3500,13900,36.9185,14.0639,
5100,1900,24.0156,15.1084,1.1407
9900,13700,35.0411,13.919,
2900,900,28.4249,13.1304,0.3897
7900,6700,33.2458,14.5724,
16900,4900,37.0216,15.0814,
18700,1500,40.0446,13.91,1.556
2700,2100,29.1565,13.4024,
10700,5100,35.4579,14.9395,1.4019
7500,12900,31.44,15.2159,1.0773
5500,11100,35.2379,14.5777,0.8305
9500,9100,34.9151,14.2483,1.6088
15300,3100,33.4161,14.4281,0.9464
4700,9700,32.3707,15.2606,1.2034
16700,15700,43.8217,16.1859,4.7947
19500,9700,37.3289,14.2079,2.3203
16900,13100,38.0937,16.9583,
900,3700,27.6737,13.8354,
500,11900,32.3485,14.1859,
9100,1300,28.0296,14.0381,0.65
9100,13700,34.096,14.3685,1.0124
9900,12900,36.3549,13.4018,
6300,100,26.0119,15.8953,1.9391
3700,5100,29.1077,12.8667,
16300,900,36.6456,15.1039,1.8475
18300,13500,38.7817,15.7736,
9500,6900,31.9071,14.1333,0.9514
17900,3100,37.5415,13.3369,0.9062
9900,15500,43,15.1362,
7100,8900,33.0404,15.0847,
19300,7100,42.5253,14.2498,
2300,5700,29.7727,12.6811,0.5523
7300,8900,32.2021,14.9384,
13900,3700,34.9958,15.6005,
8500,10100,32.5227,13.7796,
8100,8700,31.6919,15.2907,2.1023
14700,11900,39.784,15.6881,
6300,2300,30.3988,15.3677,
11900,12900,34.9988,14.3283,
18100,7100,38.3948,14.7374,
11300,7100,35.3294,15.0547,
12500,3100,30.4755,14.8889,
2700,12700,38.0117,14.436,
2700,4300,29.1415,12.1491,
8500,11300,35.0381,13.624,1.3117
1500,900,24.0766,14.188,0.531
7300,1300,32.3753,14.9072,1.4096
10700,4100,32.9269,15.2029,
7100,1900,33.334,15.3468,1.6276
3900,8500,31.0577,15.939,1.7246
17100,6100,34.2641,15.7269,
14100,10100,38.2068,15.3238,2.7575
11500,4900,37.6076,14.0445,0.9587
13300,15700,36.9157,14.4032,1.7549
1900,12100,38.5827,14.3586,1.2855
15100,2900,33.966,14.6007,
6500,900,29.2442,16.1458,
8900,6100,32.2726,15.7727,
4500,2300,27.8722,13.6234,0.6894
12900,10300,33.7745,15.1024,2.0667
10900,5700,33.9646,15.3546,
3500,700,28.3525,13.8431,0.6661
16300,3700,33.9217,14.9427,1.3102
900,5100,30.3675,14.4139,1.4664
12900,12900,38.3666,13.6177,
15300,9300,38.2326,16.3787,3.1769
7300,6900,32.2048,14.258,
16300,12500,37.3239,15.7772,
100,8900,31.7183,14.6553,
1700,11700,37.7883,14.3627,
17500,11100,38.016,15.9659,
14900,8300,38.374,16.0095,3.3433
8300,10900,32.7182,13.9639,
4100,14500,38.4526,14.2649,
11100,15300,39.7254,15.7684,2.2098
500,4900,29.5005,14.591,
13100,1500,32.2007,15.1377,1.8174
18900,1700,40.5902,14.095,1.5596
3500,7500,33.2246,15.1486,1.4744
3700,6900,30.6871,13.9584,
14500,13300,39.6297,14.7381,2.905
4900,9100,31.2961,15.0689,
9700,5700,32.8684,15.8042,1.5436
