Species.Name,Order,Class,Length,Extinct
Towapteria intermedia,Pterioida,Bivalvia,2.4,1
Phestia hunanensis,Nuculanoida,Bivalvia,2.9,1
Phestia hunanensis,Nuculanoida,Bivalvia,2.9,1
Nuculopsis wymmensis,Nuculoida,Bivalvia,3.1,1
Hunanopecten exilis,Pectinoida,Bivalvia,3.3,1
Netschajewia elongata,Pholadomyoida,Bivalvia,3.3,1
Nuculopsis wymmensis,Nuculoida,Bivalvia,3.4,1
Phestia hunanensis,Nuculanoida,Bivalvia,3.5,1
Palaeolima sichuanensis,Limoida,Bivalvia,3.7,1
Hunanopecten qujiangensis,Pectinoida,Bivalvia,3.9,1
Hunanopecten exilis,Pectinoida,Bivalvia,4,1
Hunanopecten qujiangensis,Pectinoida,Bivalvia,4,1
Netschajewia fenghaiensis,Pholadomyoida,Bivalvia,4,1
Orientopecten fenghaiensis,Pectinoida,Bivalvia,4,1
Hunanopecten exilis,Pectinoida,Bivalvia,4.1,1
Hunanopecten qujiangensis,Pectinoida,Bivalvia,4.1,1
Netschajewia jiangsuensis,Pholadomyoida,Bivalvia,4.4,1
Bakevellia ceratophaga,Pterioida,Bivalvia,4.7,1
Hunanopecten qujiangensis,Pectinoida,Bivalvia,4.9,1
Hunanopecten exilis,Pectinoida,Bivalvia,5,1
Leptodesma (Leptodesma) gouldii,Pterioida,Bivalvia,5,1
Permophorus lunulus,Pholadomyoida,Bivalvia,5,1
Pyramus grandaeva,Pholadomyoida,Bivalvia,5,1
Hunanopecten exilis,Pectinoida,Bivalvia,5.1,1
Dyasmya elegans,Pholadomyoida,Bivalvia,5.2,1
Hunanopecten qujiangensis,Pectinoida,Bivalvia,5.2,1
Hunanopecten exilis,Pectinoida,Bivalvia,5.4,1
Wilkingia fengchengensis,Pholadomyoida,Bivalvia,5.4,1
Eoastarte primaeva,Trigonioida,Bivalvia,5.5,1
Hunanopecten qujiangensis,Pectinoida,Bivalvia,5.5,1
Hunanopecten qujiangensis,Pectinoida,Bivalvia,5.5,1
Orientopecten prosoclinus,Pectinoida,Bivalvia,5.5,1
Paraschizodus rothi,Trigonioida,Bivalvia,5.5,1
Wilkingia dubia,Pholadomyoida,Bivalvia,5.5,1
Bakevellia jiuzhaiensis,Pterioida,Bivalvia,5.7,1
Claraia primitiva,Pectinoida,Bivalvia,5.7,1
Ensipteria praeangusta,Pterioida,Bivalvia,5.7,1
