site,soil,infiltration
A,clay,0.09
A,clay,0.08
A,clay,0.065
A,clay,0.08
A,clay,0.15
A,clay,0.155
A,clay,0.09
A,clay,0.1
C,clay,0.115
B,clay,0.105
B,clay,0.17
B,clay,0.085
B,clay,0.095
C,gravel,0.16
C,gravel,0.59
C,gravel,0.59
C,gravel,0.28
C,gravel,0.23
C,gravel,0.69
C,gravel,0.27
C,gravel,0.41
B,gravel,0.33
B,gravel,0.05
A,gravel,0.56
A,loam,0.125
A,loam,0.325
A,loam,0.06
A,loam,0.245
A,loam,0.22
A,loam,0.125
A,loam,0.23
A,loam,0.21
A,loam,0.39
A,loam,0.175
A,loam,0.225
A,loam,0.05
A,loam,0.195
A,loam,0.09
B,loam,0.115
B,loam,0.36
B,loam,0.18
B,loam,0.295
B,loam,0.185
B,loam,0.405
C,loam,0.06
