trd,plg,fm
216,0,A
118,0,A
223,0,A
305,0,A
242,0,A
198,0,A
172,0,A
222,0,A
155,0,A
233,0,A
269,0,A
238,0,A
189,0,A
219,0,A
111,0,A
217,0,A
141,0,A
201,0,A
201,0,A
260,0,A
276,0,A
182,0,A
212,0,A
245,0,A
221,0,A
177,0,A
248,0,A
192,0,A
210,0,A
222,0,A
251,0,A
214,0,A
228,0,A
217,0,A
262,0,A
280,0,A
234,0,A
244,0,A
218,0,A
208,0,A
191,0,A
123,0,B
217,0,B
171,0,B
251,0,B
288,0,B
135,0,B
163,0,B
35,0,B
106,0,B
349,0,B
333,0,B
15,0,B
118,0,B
205,0,B
271,0,B
72,0,B
341,0,B
148,0,B
190,0,B
313,0,B
255,0,B
96,0,B
93,0,B
320,0,B
215,0,B
237,0,B
105,0,B
179,0,B
180,0,B
223,0,B
216,0,B
222,0,B
242,0,B
196,0,B
300,0,B
227,0,B
255,0,B
257,0,B
278,0,B
290,0,B
275,0,B
